*Item,Descr,UDC_SEQ_ITEM,UDC_ARTT2,UnitPrice,UDC_ARTT1,UDC_CF_G1,UDC_CF_G2,UDC_CF_G3,UDC_CF_G4,UDC_CF_G5
3134889,Banh tet TranGia RCK 600g,208,CBNC,"43,000.000",,,,,,G5_NQ
3137744,Ca com say gion D.Diep kg,290,CBNC,"298,410.000",,,,,,G5_NQ
3137746,Ca com kho cay D.Diep kg,281,CBNC,"261,870.000",,,,,,G5_NQ
3139409,Banh chung 1kg RCK - QH,223,CBNC,"60,000.000",,,,,,G5_NQ
3139410,Banh chung 1.5kg RCK - QH,224,CBNC,"72,000.000",,,,,,G5_NQ
3141834,Ca com say gion D.Diep hu 200g,288,CBNC,"58,269.000",,,,,,G5_NQ
3141835,Ca com say gion 100g-DD,289,CBNC,"34,104.000",,,,,,G5_NQ
3141838,Ca com kho cay D.Diep hu 200g,279,CBNC,"61,509.000",,,,,,G5_NQ
3141839,Ca com kho cay 100g-DD,280,CBNC,"31,668.000",,,,,,G5_NQ
3141840,Ca chi vang sot vi 100g-DD,278,CBNC,"29,925.000",,,,,,G5_NQ
3141841,Ca hong tam cay 100g-DD,286,CBNC,"36,400.000",,,,,,G5_NQ
3142368,Banh gio,219,CBNC,"8,300.000",,,,,,G5_NQ
3176166,Rau cau T.M.LAN hop 700g,162,CBNC,"23,500.000",,,G2,G3,G4,G5_NQ
3176167,Rau cau dua T.M.LAN 160g,160,CBNC,"6,000.000",,,G2,G3,G4,G5_NQ
3176168,Rau cau cafe T.M.LAN 160g,163,CBNC,"6,000.000",,,G2,G3,G4,G5_NQ
3176169,Rau cau n.dua T.M.LAN 160g,161,CBNC,"7,000.000",,,G2,G3,G4,G5_NQ
3195119,Banh gai loc 5cai,205,CBNC,"22,000.000",,,,,,G5_NQ
3212294,Ghe say chua ngot DD kg,284,CBNC,"215,250.000",,,,,,G5_NQ
3213806,Banh chung 500g RCK-QH,222,CBNC,"30,000.000",,,,,,G5_NQ
3218520,Banh com dxanh BM 75g,186,CBNC,"6,182.000",,G1,G2,G3,G4,G5_NQ
3225133,Banh com BM hg 85g,183,CBNC,"6,545.000",,,,,,G5_NQ
3238846,Ca com say ngu coc kg,283,CBNC,"255,780.000",,,,,,G5_NQ
3238849,Ghe say chua ngot DDiep hu200g,285,CBNC,"50,400.000",,,,,,G5_NQ
3238851,Ghe say ngu coc D.Diep hu 150g,287,CBNC,"40,950.000",,,,,,G5_NQ
3238854,Ca com say ngucoc DDiep hu150g,282,CBNC,"45,066.000",,,,,,G5_NQ
3256115,Rau cau hinh hoa(16cai/h 600g),164,CBNC,"27,500.000",,,G2,G3,G4,G5_NQ
3274919,Cha bong heo kg-TNP,234,CBNC,"471,400.000",,,,G3,G4,G5_NQ
3301037,Banh com BM hop 6x65g,184,CBNC,"25,455.000",,G1,G2,G3,G4,G5_NQ
3301038,Banh com BM hop 65g,185,CBNC,"5,093.000",,,,G3,G4,G5_NQ
3301465,Banh chung chay 1 kg-TranGia,210,CBNC,"60,500.000",,,,,,G5_NQ
3301557,Banh chung chay 600g-TranGia,209,CBNC,"36,500.000",,,,G3,G4,G5_NQ
3318531,Bun bo kg-KTRANG,21,CBNC,"12,800.000",,,,,,G5_NQ
3318532,Bun tuoi kg-KTRANG,20,CBNC,"12,800.000",,,,,,G5_NQ
3322308,Banh dau xanh 7cai/hop-HSEN,181,CBNC,"22,000.000",,G1,G2,G3,G4,G5_NQ
3322309,Banh dau xanh 14cai/hop-HSEN,182,CBNC,"23,100.000",,G1,G2,G3,G4,G5_NQ
3324516,Banh canh gao kg-KTRANG,26,CBNC,"14,300.000",,,,,,G5_NQ
3324517,Banh canh kg-KTRANG,22,CBNC,"14,300.000",,,,,,G5_NQ
3347199,Banh tet hot vitmuoi 500g-TNP,229,CBNC,"59,000.000",,,,,,G5_NQ
3347201,Banh tet thap cam 500g-TNP,230,CBNC,"62,000.000",,,,,,G5_NQ
3348831,Banh tet nuoccot dua 500g-TNP,227,CBNC,"45,500.000",,,,,,G5_NQ
3348832,Banh tet chuoi 500g-TNP,228,CBNC,"42,500.000",,,,,,G5_NQ
3350668,Thit heo saygion ChaCha kg-TNP,233,CBNC,"531,000.000",,,,,,G5_NQ
3353439,Banh Pia chay T.LUONG 400g,372,CBNC,"46,000.000",,,,,,G5_NQ
3355161,Trung ga ta tiem(2T/goi)-VTD,267,CBNC,"8,000.000",,G1,G2,G3,G4,G5_NQ
3355162,Trung vit kho(2T/goi)-VTD,268,CBNC,"5,530.000",,,G2,G3,G4,G5_NQ
3355163,Trung ga tiem(2T/goi)-VTD,269,CBNC,"5,460.000",,G1,G2,G3,G4,G5_NQ
3355164,Trung cut pha lau (6T/goi)-VTD,270,CBNC,"7,800.000",,G1,G2,G3,G4,G5_NQ
3366458,Ca chi vang sot vi 200g-DD,291,CBNC,"48,825.000",,,,,,G5_NQ
3366463,Ca mai sotch.ngot DDiep hu200g,293,CBNC,"46,000.000",,,,,,G5_NQ
3366466,Ca chi vang sot vi kg,292,CBNC,"215,250.000",,,,,,G5_NQ
3366468,Ca mai sot chua kg,294,CBNC,"206,000.000",,,,,,G5_NQ
3368994,Rau cau dua H.LOAN hu 160g,315,CBNC,"8,300.000",,,,,,G5_NQ
3369504,Bun tuoi kg-BAKHANH,34,CBNC,"13,000.000",,,,G3,G4,G5_NQ
3369505,Bun bo kg-BAKHANH,35,CBNC,"13,600.000",,,,,,G5_NQ
3369506,Banh canh kg-BAKHANH,36,CBNC,"14,300.000",,,,,,G5_NQ
3369507,Banh pho kg-BAKHANH,37,CBNC,"14,300.000",,,,,,G5_NQ
3370365,Tau hu ky (cay) 200g-D&D,261,CBNC,"32,000.000",,,G2,G3,G4,G5_NQ
3370366,Tau hu ky (la)200g-D&D,259,CBNC,"42,460.000",,,G2,G3,G4,G5_NQ
3370367,Tau hu ky non 200g-D&D,266,CBNC,"20,350.000",,,,G3,G4,G5_NQ
3371474,Bun tuoi 500g-BAKHANH,28,CBNC,"7,300.000",,G1,G2,G3,G4,G5_NQ
3371475,Bun bo 500g-BAKHANH,31,CBNC,"8,200.000",,G1,G2,G3,G4,G5_NQ
3371476,Banh canh 500g-BAKHANH,32,CBNC,"8,200.000",,G1,G2,G3,G4,G5_NQ
3371477,Banh pho 500g-BAKHANH,33,CBNC,"8,200.000",,G1,G2,G3,G4,G5_NQ
3371966,Heo lat chay kg,47,CBNC,"192,600.000",,,G2,G3,G4,G5_NQ
3371967,Bo lat chay kg,48,CBNC,"244,200.000",,,,,,G5_NQ
3371968,Ga lat chay kg,49,CBNC,"214,000.000",,,,,,G5_NQ
3371969,Bong ca chay kg,50,CBNC,"214,000.000",,,,,,G5_NQ
3372140,B.pia t.hang 1trung T2 MN460g,358,CBNC,"80,500.000",,G1,G2,G3,G4,G5_NQ
3372141,B.pia c.c C2 MY NGOC 460g,359,CBNC,"69,300.000",,G1,G2,G3,G4,G5_NQ
3372461,Banh piaMYNGOC 1trungD1-400g,360,CBNC,"61,500.000",,,G2,G3,G4,G5_NQ
3377144,Hanh phi 100g,121,CBNC,"21,000.000",,G1,G2,G3,G4,G5_NQ
3377145,Hanh phi kg,122,CBNC,"171,000.000",,,,,,G5_NQ
3377146,Toi phi 100g,123,CBNC,"19,000.000",,,,G3,G4,G5_NQ
3377147,Toi phi kg,124,CBNC,"145,000.000",,,,,,G5_NQ
3377148,Cha ca thu hap 300g-NT,148,CBNC,"53,000.000",,,,G3,G4,G5_NQ
3377150,Cha ca thu chien 300g-NT,149,CBNC,"53,000.000",,,,G3,G4,G5_NQ
3377953,B.pia mini mon saurieng130g-NT,142,CBNC,"22,000.000",,,G2,G3,G4,G5_NQ
3379197,Cha bong ga kg,231,CBNC,"415,800.000",,,,,,G5_NQ
3379920,Trung vit muoi an lien-V.food,271,CBNC,"5,500.000",,G1,G2,G3,G4,G5_NQ
3380388,Dphong rang toi ot 100g,125,CBNC,"17,000.000",,,,,,G5_NQ
3380390,Dphong rang toi ot kg,126,CBNC,"165,000.000",,,,,,G5_NQ
3386246,Rau cau dua ly 140g-TNT,178,CBNC,"6,800.000",,,G2,G3,G4,G5_NQ
3386250,Che buoi 140g-TNT,175,CBNC,"6,300.000",,,G2,G3,G4,G5_NQ
3390212,Cha chay 200g-D&D,260,CBNC,"30,700.000",,,G2,G3,G4,G5_NQ
3393554,Banh uot kg-KIEUTRANG,23,CBNC,"13,900.000",,,,,,G5_NQ
3393555,Banh hoi kg-KIEU TRANG,24,CBNC,"20,000.000",,,,,,G5_NQ
3393556,Banh pho kg-KIEUTRANG,25,CBNC,"13,900.000",,,,,,G5_NQ
3397141,Bi heo thai soi 170g-D&D,264,CBNC,"34,500.000",,,,,,G5_NQ
3397142,Bi heo thai soi 300g-D&D,265,CBNC,"44,000.000",,,,,,G5_NQ
3398962,B.pia BAOMINH 300g,201,CBNC,"41,818.000",,,G2,G3,G4,G5_NQ
3398963,B.pia chay BAOMINH 300g,202,CBNC,"35,455.000",,,G2,G3,G4,G5_NQ
3402212,Che bap 140g-TNT,176,CBNC,"6,800.000",,,G2,G3,G4,G5_NQ
3404638,Banh gai Ho Nai,218,CBNC,"4,500.000",,,,,,G5_NQ
3405496,Thach den 480g-Cao Bang,304,CBNC,"27,800.000",,G1,G2,G3,G4,G5_NQ
3407903,Banh mi que nhan Pate-BMQ,153,CBNC,"6,500.000",,,,,,G5_NQ
3408468,B.pia T.LUONG t.cam400g,373,CBNC,"62,000.000",,,,,,G5_NQ
3409280,Dua cai chua kg-TNP,235,CBNC,"64,000.000",,G1,G2,G3,G4,G5_NQ
3409281,Dua chua thap cam kg-TNP,236,CBNC,"62,000.000",,,,,,G5_NQ
3410199,Bun tuoi 100g-BA KHANH,30,CBNC,"2,500.000",,,,,,G5_NQ
3410200,Bun tuoi 300g-BA KHANH,29,CBNC,"5,500.000",,,,G3,G4,G5_NQ
3411926,Che khoai mon 140g-TNT,177,CBNC,"6,300.000",,,G2,G3,G4,G5_NQ
3412572,Ca com hoa chuoi kho chay kg,51,CBNC,"197,000.000",,,,G3,G4,G5_NQ
3413318,Mam thai chay kg-PGP,53,CBNC,"117,000.000",,,,,,G5_NQ
3413319,Dua mam chay kg-PGP,55,CBNC,"99,000.000",,,,,,G5_NQ
3413866,Ga say la chanh TNP kg,232,CBNC,"325,040.000",,,,,,G5_NQ
3414826,Thach den 230g-CaoBang,305,CBNC,"46,000.000",,G1,G2,G3,G4,G5_NQ
3414827,Banh trang tron 50g,120,CBNC,"12,000.000",,G1,G2,G3,G4,G5_NQ
3415114,Banh chuoi hap 200g-LHP,380,CBNC,"10,200.000",,,,,,G5_NQ
3415117,Xoi vi 100g-LHP,381,CBNC,"8,500.000",,,,,,G5_NQ
3415120,Banh quy 100g-LHP,382,CBNC,"8,500.000",,,,,,G5_NQ
3415122,Banh tet dau xanh 400g-LHP,387,CBNC,"21,000.000",,,,,,G5_NQ
3415124,Banh tet chuoi 400g-LHP,388,CBNC,"21,000.000",,,,,,G5_NQ
3416353,Kho quet chay kg-PGP,52,CBNC,"170,000.000",,,,,,G5_NQ
3416899,Banh com d.xanh s.rieng BM 75g,187,CBNC,"6,545.000",,G1,G2,G3,G4,G5_NQ
3418307,Bun tuoi 500g-KTRANG,12,CBNC,"7,100.000",,,,,,G5_NQ
