*Item,Descr,ItemClass,UOM,DefaultUOM,UDC_BuyUOM,UDC_BuyContent,UDC_Weight,UDC_Cube,UnitPrice,PlanLevel,UDC_CategoryDescr,UDC_CategoryID,UDC_ClassDescr,UDC_ClassID,UDC_CREATE_DteTm,UDC_Delete,UDC_DeptDescr,UDC_DeptID,UDC_SubDeptDescr,UDC_SubDeptID,UDC_Update_DteTm,UnitsPerPallet,Vol,Wgt,BRAND,UDC_GOLIVE
3572540,Kiwi vang N.Z chin hop 4trai,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,12/12/23 06:21 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3572541,Tao Ambrosia Newzealand tui3kg,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,11/8/23 06:32 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3572613,Tao Ambrosia Newzealand tui1kg,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,12/12/23 06:21 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3572614,Quyt Uc nho kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,12/12/23 06:21 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3573511,Kiwi xanh N.Z chin hop 4trai,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,12/12/23 06:21 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3574396,Cherry Uc 200g-DNHAT,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3574397,Cherry Uc 300g-DNHAT,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3574507,Tao Fuji ChiLe tui 1.36kg,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3575211,Tao Ambrosia My tui 900g-DNHAT,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,3/12/24 06:20 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3575212,Tao Ambrosia My hop6trai-DNHAT,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3575213,Tao Green Dragon My tui 1kg,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3575711,Tao do Cripps Nam Phi nho kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3576357,Dao Uc 500g-TONY,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3576358,Tao Rockit New hop 6 ong 4trai,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,2/20/24 06:20 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3576359,Hop qua Tao Envy My 9trai,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Hop qua TP,1,2/20/24 06:20 AM,false,Hop qua bo du lich,900,Hop qua thuc pham,1,4/8/24 06:16 AM,1.000,.000,.000,,false
3576360,Quyt Nhat tui 1kg,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3576845,Tao Kissabel Phap kg,DEFAULT,PIECES,18,KG,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay can kg,1,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3576846,Tao Candine Org. Phap tui 1kg,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Trai cay dong goi,5,1/10/24 06:38 AM,false,Thuc pham tuoi-so che,101,Trai cay cac loai,10,4/8/24 06:16 AM,1.000,.000,.000,,false
3577989,HQ Tao OrganicJuliet Phap6trai,DEFAULT,PIECES,18,EA,1.000,.000,.000,.000,0,Thuc Pham Tuoi Song,1,Hop qua TP,1,2/20/24 06:20 AM,false,Hop qua bo du lich,900,Hop qua thuc pham,1,4/8/24 06:16 AM,1.000,.000,.000,,false
